Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
GEM_2024_B_5360229,"5MP ANALOG BULLET CAMERA,5MP ANALOG DOME CAMERA,4MP IP DOME CAMERA,4MP IP BULLET CAMERA,2MP IP DOME",Ministry of Defence Department of Military Affairs,approved,Not Submitted,03-10-2024 13:46:58,GEM BOT
GEM_2024_B_5365983,Video Conferencing Camera / Web Camera,Ministry of Coal COAL INDIA LIMITED,rejected,New-Corrigendum,16-09-2024 13:47:44,GEM BOT
GEM_2024_B_5367501,"IP camera 5MP 6mm Lens 50mtr IR colour,PTZ IP camera 2 MP 100 Mtr IR Outdoor,PTZ IP camera 4 MP 200",Ministry of Defence Department of Military Affairs,approved,Not Submitted,16-09-2024 13:30:42,GEM BOT
GEM_2024_B_5369670,"Video Conferencing Camera / Web Camera,Speakerphone",Ministry of Petroleum and Natural Gas Bharat Petroleum Corporation Ltd,rejected,New-Corrigendum,16-09-2024 13:04:24,GEM BOT
GEM_2024_B_5376973,"Switch Socket comb 15 oblique 16 Amp Multi purpose 6 Pin,5 oblique 6 Amp Switch Socket Combined wit",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,12-10-2024 05:20:24,GEM BOT
GEM_2024_B_5382959,"AMC of Integrated Security and Surveillance System - Theft Prevention, Monitor Operations, Public S",Ministry of Personnel Public Grievances and Pensions Department of Personnel and Training,rejected,,06-11-2024 13:17:18,GEM BOT
GEM_2024_B_5384410,"Random Access Memory (RAM) Card (V2),Hard disk drives,Hard disk drives,USB Camera for Video Confere",School and Mass Education Department Odisha,rejected,New-Corrigendum,16-09-2024 13:09:19,GEM BOT
GEM_2024_B_5389410,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,rejected,,09-11-2024 13:11:38,GEM BOT
GEM_2024_B_5390882,"Camera for CCTV System (V2),Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Televis",Micro Small and Medium Enterprises (MSMEs) Department Odisha,rejected,New-Corrigendum,08-10-2024 05:08:11,GEM BOT
GEM_2024_B_5394565,MULTI-PROTOCOL LABEL SWITCHING SERVICE(MPLS SERVICE),Ministry of Electronics and Information Technology Department of Electronics and Information Technology,rejected,New-Corrigendum,25-09-2024 10:10:08,GEM BOT
