tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2024_CEJNS_885520_3,Construction of Surikalan to Kuwangaun link road,Chief Engineer Jhansi Zone PWD Jhansi UP||JHANSI CIRLCE PWD JHANSI,26-01-2024 05:42:40,Etenders UP NIC BOT,rejected,
2024_CEJNS_885598_3,Samthar piprikalan to marodkalan Tigrakalan road,Chief Engineer Jhansi Zone PWD Jhansi UP||JHANSI CIRLCE PWD JHANSI||CONSTRUCTION DIVISION 3 PWD JHANSI,26-01-2024 05:15:51,Etenders UP NIC BOT,rejected,
2024_CEKNP_883622_3,"Renewal of Jhinjhak Kanchausi Road to Heeramansha via Langartha Road (ODR) (Km.1(500-1000), 2, 4, 5 and 8(500)",Cheif Engineer Kanpur Zone PWD Kanpur||SE KANPUR CIRCLE PWD KANPUR||EE PROVINCIAL DIVISION PWD KANPUR DEHAT,24-01-2024 05:18:39,Etenders UP NIC BOT,rejected,
2024_CEMBD_883738_7,Special repair of B B Road to Alawalpur Bundra Kalan Road in Distt Bijnor,Chief Engineer Moradabad Zone PWD Moradabad UP||RAMPUR CIRCLE PWD RAMPUR||PROVINCIAL DIVISION PWD BIJNOR,23-01-2024 05:16:25,Etenders UP NIC BOT,rejected,
2024_CEMRT_881412_1,Boundary wall work under special repair on the land of Public Works Department in Km 10 and 31 of Meerut Baraut Road.,Cheif Engineer Meerut Zone PWD Meerut||SE MEERUT CIRCLE PWD MEERUT||EE CONSTRUCTION DIVISION PWD MEERUT,22-01-2024 06:08:46,Etenders UP NIC BOT,rejected,
2024_CEMRT_882521_2,Special repair work of Fatehpur Kalan road from Behat Shakumbari Marg,Cheif Engineer Meerut Zone PWD Meerut||SE SAHARANPUR CIRCLE PWD SAHARANPUR,22-01-2024 09:13:31,Tendersodisha GOV BOT,rejected,
2024_CEMRT_882521_4,Special repair work of Dhaba to Landapul road at Km 9 of Gandevdi Hathnikund road,Cheif Engineer Meerut Zone PWD Meerut||SE SAHARANPUR CIRCLE PWD SAHARANPUR,20-01-2024 08:36:41,Tendersodisha GOV BOT,rejected,
2024_CEMRT_882616_6,Special repair work of Chutmalpur Roorkee road to Hasanpur Badkalan road.,Cheif Engineer Meerut Zone PWD Meerut||SE SAHARANPUR CIRCLE PWD SAHARANPUR,20-01-2024 05:17:14,Etenders UP NIC BOT,rejected,
2024_CEMRT_882949_7,New Construction work at Jewar Kanigarhi Bhagwantpur road to Chhatanga Kalan Mandir Road in District Gautambudhnagar,Cheif Engineer Meerut Zone PWD Meerut||SE BULAND SHAHAR PWD BULANDSHAHAR||EE PROVINCIAL DIVISION PWD GAUTAMBUDH NAGAR,21-01-2024 08:57:06,Tendersodisha GOV BOT,rejected,
2024_CEO_46064_1,"SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF OUTDOOR CCTV SURVEILLANCE SYSTEM AT MBB COLLEGE LAKE WITH INTEGRATION TO ICCC IN EPC MODE INCLUDING DLP OF THREE YEARS",Agartala Smart City Ltd. (Urban Development Dept)||CEO Agartala Smart City Ltd.(Urban Development Dept.),20-01-2024 08:50:27,TripuraTenders GOV NICGEP BOT,rejected,
